failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.5571848154067993,0.06286250799894333
0.725,0.7071428571428572,0.39155075523766114,0.35321964455753024,0.3736991993098311,0.34887549657976946,0.9841269841269841,tensor(6.6793),0.6666666666666666,1.0,0.12482243031263351,-4.0746235847473145
0.9318181818181818,0.8335714285714286,0.3083822528666074,0.32369665881503734,0.4819941866950092,0.2924678948115052,0.8518518518518519,tensor(3.2397),0.9251700680272109,0.9655172413793104,0.2116256207227707,-6.908508777618408
0.8023255813953488,0.849047619047619,0.207220653968288,0.30569663565432825,0.46530367457355865,0.26344771358747315,0.7241379310344828,tensor(1.8980),0.8014705882352942,0.8055555555555556,0.3130944073200226,-8.652058601379395
0.6647398843930635,0.8482142857142857,0.15641480020724655,0.2800895466563923,0.5063314769408458,0.20292175648185015,0.6501650165016502,tensor(2.0176),0.6124031007751938,0.8181818181818182,0.35097721219062805,-9.665410041809082
0.5842696629213483,0.822857142857143,0.10984269904151696,0.2542716095869537,0.5971061993487309,0.13827494387808176,0.5527950310559007,tensor(1.0123),0.5639097744360902,0.6444444444444445,0.4163007438182831,-9.877976417541504
0.3879781420765027,0.7945238095238094,0.08761700821416515,0.2346674439460426,0.5685907113938304,0.1125611745061798,0.45348837209302323,tensor(0.9688),0.31343283582089554,0.5918367346938775,0.4441089332103729,-10.587719917297363
0.25,0.7754761904761904,0.08067704812599646,0.24919339826055575,0.5438839701815126,0.14530967146827595,0.366120218579235,tensor(1.0905),0.17266187050359713,0.46938775510204084,0.46647408604621887,-10.437273025512695
0.12105263157894737,0.7452380952380953,0.09271350010296206,0.18442656134784735,0.3321267730261768,0.13309811899154841,0.32625994694960214,tensor(0.7325),0.07092198581560284,0.2653061224489796,0.4544679522514343,-10.647071838378906
0.2182741116751269,0.7402380952380951,0.0956009263432746,0.3365160105000836,0.687674102292431,0.1752434053806353,0.30548302872062666,tensor(0.5869),0.13333333333333333,0.4032258064516129,0.4747220277786255,-10.921814918518066
0.2131979695431472,0.7523809523809524,0.11317758779161999,0.2775928580614697,0.6149623434092862,0.1597446131796982,0.3089005235602094,tensor(0.2521),0.1643835616438356,0.35294117647058826,0.49660786986351013,-11.099692344665527
0.21717171717171718,0.7423809523809524,0.1121119502359486,0.2870451628586251,0.6468873618475551,0.14157703986310036,0.2987012987012987,tensor(1.7112),0.15602836879432624,0.3684210526315789,0.5093850493431091,-9.841865539550781
0.01,0.6935714285714285,0.102649119817693,0.28775293810187974,0.5266364065718134,0.17533718823367564,0.29533678756476683,tensor(1.8006),0.014705882352941176,0.0,0.43999141454696655,-11.034905433654785
0.1518324607329843,0.7066666666666667,0.13574923464523106,0.3228846056694195,0.725882215871202,0.15990763095546334,0.3157894736842105,tensor(1.1461),0.0661764705882353,0.36363636363636365,0.4420020878314972,-10.050127029418945
0.27835051546391754,0.7223809523809523,0.14137955923053522,0.32342127502815854,0.6504647113289224,0.1907079965292979,0.29198966408268734,tensor(1.5332),0.2391304347826087,0.375,0.4410248100757599,-8.82150936126709
0.17587939698492464,0.7185714285714286,0.13316940430512728,0.34689881934742456,0.6636438257735248,0.2228588168309099,0.28205128205128205,tensor(1.3925),0.08391608391608392,0.4107142857142857,0.4543103873729706,-9.179549217224121
0.125,0.7235714285714285,0.0942589955757405,0.32980729972915895,0.7275551728367871,0.17012749665675345,0.26582278481012656,tensor(0.9839),0.08759124087591241,0.21818181818181817,0.45917823910713196,-9.614590644836426
0.18181818181818182,0.7114285714285713,0.09601919838376055,0.3099988868872418,0.6122067712425636,0.1878297421478564,0.22549019607843138,tensor(0.7840),0.0851063829787234,0.42105263157894735,0.4757610261440277,-9.854622840881348
