failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse,avg_score_on_last_train,balanced_acc,cohen_acc
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.0408163265306123,tensor(0.),0.0,0.0,0.5310507416725159,-0.08289814740419388,0.0,0.0,0.0,0.0
0.3473053892215569,0.832,0.1960207253622766,0.2577067984597504,0.27562883397581933,0.23821658483602565,0.567398119122257,tensor(6.7736),0.3,0.39080459770114945,0.20818188786506653,-7.2735395431518555,0.55,4.469449669122696,0.8348939575830332,0.6658445381494152
0.28205128205128205,0.8959999999999999,0.09589794372531217,0.7069024463837227,0.7753300211477309,0.6085378076604605,0.7123287671232876,tensor(5.6811),0.3,0.26956521739130435,0.10249681025743484,-1.6397005319595337,0.6945912623961404,-4.4526708126068115,0.9024214607992871,0.7894743204124701
0.22282608695652173,0.9199999999999999,0.06931139109306884,0.6119197719494949,0.625540036861445,0.5942134275639603,0.6556291390728477,tensor(4.3369),0.225,0.22115384615384615,0.11520185321569443,0.8492518663406372,0.7368556196278968,-3.218252182006836,0.9213649216921377,0.837848970691693
0.35751295336787564,0.9019999999999999,0.04671008889312826,0.605424775687246,0.6384146729875462,0.5635082002939232,0.6611295681063123,tensor(13.1078),0.4235294117647059,0.3055555555555556,0.19199447333812714,1.6998924016952515,0.716535704766303,-0.17820978164672852,0.9019199774475275,0.7997811152758814
0.3177083333333333,0.8804000000000001,0.04906393669521366,0.5781060374874174,0.6503021387260459,0.4962837894169719,0.6891891891891891,tensor(13.0821),0.28888888888888886,0.3431372549019608,0.25618740916252136,-2.594703197479248,0.7163469632425806,3.695722818374634,0.8805303580055219,0.7551519669022906
0.30412371134020616,0.9063333333333332,0.040019537518125856,0.466011844380905,0.4847255432884979,0.44299614572444,0.5873015873015873,tensor(12.7331),0.3333333333333333,0.2803738317757009,0.2832443118095398,-1.836101770401001,0.7111819568120364,0.08971261978149414,0.8996629099754845,0.8053220506596684
0.3197969543147208,0.9183333333333332,0.04577316026975115,0.3326967173773876,0.3243456123729024,0.34242437815184296,0.6722408026755853,tensor(14.9561),0.2857142857142857,0.3490566037735849,0.14974750578403473,-0.8727152347564697,0.722900980233206,-1.368639588356018,0.9177558240205619,0.8297227289208622
0.2736842105263158,0.9229999999999999,0.051806083874000194,0.49157710399412086,0.5266500630220347,0.4509243560299476,0.7006802721088435,tensor(11.0074),0.23863636363636365,0.30392156862745096,0.164425790309906,-2.853788137435913,0.7086177405885441,0.6093094348907471,0.9230966148922527,0.840374116849878
0.3005464480874317,0.9183333333333332,0.034472988986163376,0.5932536337009966,0.6724222540521824,0.4957410647318532,0.7123287671232876,tensor(10.8336),0.2682926829268293,0.32673267326732675,0.16390246152877808,-0.14140525460243225,0.7069479358535828,-2.1682612895965576,0.9190219020129979,0.8308312066152111
