failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse,avg_score_on_last_train,balanced_acc,cohen_acc
0.0,0.0,0.12740252210648656,0.0,0.0,0.0,1.1008403361344539,tensor(0.),0.0,0.0,0.622930645942688,0.06661786139011383,0.0,0.0,0.0,0.0
0.0,0.788,0.13041911077876936,0.11380585847895272,0.12193755731993931,0.10577455098168205,0.45348837209302323,tensor(1.8941),0.0,0.0,0.4504365622997284,-0.5376415848731995,0.4857142857142857,0.11239853501319885,0.7977099236641221,0.583516690765072
0.4072398190045249,0.88,0.11748864570199993,0.0574496355569878,0.05996811274635182,0.053983344371626614,0.42450142450142453,tensor(1.0967),0.3978494623655914,0.4140625,0.44800254702568054,-0.9488288760185242,0.7280983302411874,0.33417557924985886,0.8809576238011353,0.7617916563154351
0.22535211267605634,0.9126666666666666,0.10231579670707745,0.08593855084605616,0.08517581354069362,0.08700124102431411,0.4124293785310734,tensor(1.0017),0.16853932584269662,0.2661290322580645,0.4311509132385254,-1.2876559495925903,0.782705543785174,0.23792222142219543,0.9105757839769144,0.8245422401098419
0.25116279069767444,0.9225000000000001,0.1233288362687183,0.09980179769941995,0.10853178437146119,0.08720283966136039,0.39664804469273746,tensor(0.9623),0.20454545454545456,0.28346456692913385,0.411040723323822,-1.636139154434204,0.8037320186377055,0.3330875337123871,0.9164666638749631,0.8407352597448742
0.2132701421800948,0.9308,0.13796021003063286,0.08147376838537776,0.0904776269705914,0.06960054827300807,0.3888888888888889,tensor(0.6589),0.1978021978021978,0.225,0.40326806902885437,-2.005661725997925,0.8411100370397383,0.3771154582500458,0.9231685885586262,0.8553423038174434
0.21171171171171171,0.9389999999999998,0.12819492200512164,0.11710271101529543,0.13030988090647058,0.09773219517490518,0.3774104683195592,tensor(0.6854),0.13333333333333333,0.26515151515151514,0.3925895094871521,-2.3408353328704834,0.8570672014924982,0.3405719995498657,0.9295281269234269,0.8711930817927191
0.22477064220183487,0.9766666666666666,0.13717496918884908,0.11696222587899595,0.15183825471458667,0.06444774567827893,0.3774104683195592,tensor(0.6225),0.14942528735632185,0.2748091603053435,0.40061816573143005,-2.657278537750244,0.9156216325283802,0.36590649373829365,0.9644228887463826,0.9428802940838024
0.19282511210762332,0.9723333333333333,0.13454113097658024,0.14191733111048174,0.19491960810566858,0.07050373684328265,0.35501355013550134,tensor(0.8383),0.10526315789473684,0.2578125,0.3975749909877777,-2.9164342880249023,0.9125742407311386,0.3303467705845833,0.9549531459511444,0.9306397548492417
0.24434389140271492,0.9716666666666665,0.11778274940226342,0.18568868720377393,0.24858060029385826,0.08882068313398862,0.3698630136986301,tensor(0.8267),0.08045977011494253,0.35074626865671643,0.3775492310523987,-3.1296215057373047,0.9286258318140741,0.2360686380416155,0.9610098613332125,0.9290544435366843
0.2922374429223744,0.957333333333333,0.16689861133877662,0.16484353359752377,0.21621401977513707,0.09524481038914454,0.366120218579235,tensor(0.6540),0.16129032258064516,0.3888888888888889,0.3672805428504944,-3.373410224914551,0.9263381351396506,0.30619824677705765,0.943325468695245,0.8922187229547736
0.3055555555555556,0.9606666666666666,0.1667507277860136,0.21294663186155757,0.2653866621050412,0.12379858044763528,0.35501355013550134,tensor(0.5948),0.1625,0.3897058823529412,0.39191141724586487,-3.642643690109253,0.9300244425472362,0.3269667364656925,0.9451417512938309,0.8996230228947263
0.26605504587155965,0.963,0.1991069901539856,0.18132242944730814,0.21320064697263294,0.13239307231541422,0.37362637362637363,tensor(0.8295),0.1744186046511628,0.32575757575757575,0.36884909868240356,-3.8956210613250732,0.9083694969553496,0.24160855636000633,0.9552546634192289,0.9062919619153141
0.33181818181818185,0.9673333333333332,0.18956478070582372,0.24347079733260926,0.3249172914380057,0.12358887904264353,0.366120218579235,tensor(0.9257),0.19101123595505617,0.42748091603053434,0.3569153845310211,-4.098235130310059,0.8977131059167265,0.3367317020893097,0.9584606622161942,0.9167547181947363
0.32751091703056767,0.9683333333333333,0.18254116336599696,0.25799028709534183,0.33613947208930306,0.14775880510385975,0.366120218579235,tensor(0.6574),0.23157894736842105,0.39552238805970147,0.3803752064704895,-4.3637614250183105,0.8955525009077219,0.3310251384973526,0.9601188355540352,0.9191172795418956
0.3116279069767442,0.9713333333333333,0.19177141444002224,0.30857026371268803,0.3940671009579941,0.15220104822456243,0.3477088948787062,tensor(0.8164),0.18421052631578946,0.381294964028777,0.390360027551651,-4.59621524810791,0.9114931442528477,0.4032814720412716,0.9575911597808071,0.9260650878175437
0.2222222222222222,0.9746666666666667,0.17772489101680508,0.24258889909167916,0.3192035836563845,0.14148910915062488,0.33689839572192515,tensor(0.5279),0.10309278350515463,0.3125,0.3954668343067169,-4.7348551750183105,0.9189151346092287,0.3022604137659073,0.9593147708042353,0.9340868839515964
0.15246636771300448,0.9746666666666665,0.17281681189248652,0.2746707793067877,0.34480084093015706,0.16081256161237628,0.32275132275132273,tensor(0.6082),0.047058823529411764,0.21739130434782608,0.3953116834163666,-4.837236404418945,0.9193900496864722,0.1562536358833313,0.9558987878360565,0.9333207802100562
0.16818181818181818,0.9756666666666667,0.1688427645617138,0.32873887470555974,0.40194308783972116,0.22688953469281326,0.32275132275132273,tensor(0.5785),0.10869565217391304,0.2109375,0.40172842144966125,-4.954292297363281,0.90281555017063,0.25927841663360596,0.9588685711219673,0.9357846259541289
0.20361990950226244,0.9756666666666666,0.17396939901527808,0.2902879897371674,0.36530047032213353,0.1870450057062464,0.3089005235602094,tensor(0.7038),0.10752688172043011,0.2734375,0.395035058259964,-5.042276382446289,0.9079910801219663,0.2175905406475067,0.9560735576379696,0.934747193342502
0.2077922077922078,0.9816666666666666,0.20866456293902655,0.2716047013141774,0.33333888948059837,0.16751798870800244,0.3089005235602094,tensor(0.6165),0.13953488372093023,0.2482758620689655,0.3859749138355255,-5.121494293212891,0.9159254084136323,0.23209893703460693,0.9668733836445488,0.9506410646657196
0.1643835616438356,0.9776666666666666,0.20541130534140803,0.29442056398271527,0.3330523977501077,0.22860336571234338,0.2987012987012987,tensor(0.8081),0.1111111111111111,0.1956521739130435,0.3733685314655304,-5.163251876831055,0.9171900426368578,0.11545580625534058,0.9600048774584815,0.9386560260944989
0.22123893805309736,0.975,0.18623693868326738,0.2956757135371139,0.32981187986411103,0.23904983762997786,0.27877237851662406,tensor(0.6692),0.2,0.23404255319148937,0.38782456517219543,-5.223092079162598,0.9252393335821307,0.16116398572921753,0.9503426123714402,0.929578051475942
0.20434782608695654,0.9713333333333332,0.18914414574040658,0.3395041846334535,0.4350456469643211,0.20127398381432576,0.26903553299492383,tensor(0.5467),0.10638297872340426,0.27205882352941174,0.3802499771118164,-5.301407337188721,0.9224237749329602,0.22875326871871948,0.9440925413585681,0.9178824487595472
0.1091703056768559,0.9686666666666666,0.18518736855605197,0.33281511128844343,0.3854729409038325,0.24360655288119604,0.26582278481012656,tensor(0.8324),0.09411764705882353,0.11805555555555555,0.38908764719963074,-5.358808994293213,0.9172826640205978,0.131946861743927,0.9420239218484558,0.9093332085321377
0.21238938053097345,0.9803333333333333,0.19247043502041666,0.3149338250985467,0.36560873137676175,0.23692863228826075,0.2755102040816326,tensor(0.9244),0.14606741573033707,0.25547445255474455,0.3836318850517273,-5.423026084899902,0.8849290309083437,0.14971208572387695,0.9666827072488824,0.943214798822368
0.31004366812227074,0.9823333333333332,0.18767051542467478,0.3364649248140813,0.3924044959602986,0.23990256985930156,0.26582278481012656,tensor(0.5861),0.25,0.3448275862068966,0.3916670083999634,-5.5349202156066895,0.8893285930105315,0.22340327501296997,0.9665953904673563,0.9479980396597139
0.2317596566523605,0.9806666666666666,0.19282175773748442,0.3205392482238041,0.39996686691428707,0.21490051536546184,0.26903553299492383,tensor(0.6169),0.15,0.2932330827067669,0.38963910937309265,-5.593252658843994,0.8742586566951297,0.09722566604614258,0.9684130178546814,0.9425963176951156
0.23376623376623376,0.9703333333333333,0.19878181870618147,0.31362533297673684,0.383092928889083,0.20479276604739438,0.28865979381443296,tensor(0.8390),0.14444444444444443,0.2907801418439716,0.3757191598415375,-5.633048057556152,0.8568111560475847,0.161099374294281,0.96518181690955,0.9131094149817983
0.23788546255506607,0.9693333333333333,0.1980410715747942,0.3627436697815032,0.44610215618890225,0.25875189465940157,0.28865979381443296,tensor(0.6563),0.18811881188118812,0.2777777777777778,0.38189002871513367,-5.6656060218811035,0.8675481040681581,0.21568036079406738,0.9628254021144408,0.910148026173981
0.168141592920354,0.9726666666666666,0.19593250510447044,0.29780954219507205,0.379018375327916,0.16560911616486068,0.28865979381443296,tensor(0.6754),0.06976744186046512,0.22857142857142856,0.3930298686027527,-5.686873435974121,0.8811471016310495,0.1839594841003418,0.9662063121142777,0.9200342536664127
0.15418502202643172,0.9749999999999999,0.17844206525645553,0.35890723539340796,0.4206708409021581,0.24758024274800683,0.29533678756476683,tensor(0.7777),0.1111111111111111,0.1780821917808219,0.38567081093788147,-5.6979241371154785,0.8914638677422058,0.1650359034538269,0.9712690100093011,0.9276455354434288
0.1939655172413793,0.9723333333333333,0.1726023742009306,0.3221359190897359,0.38313458854585475,0.20623844712310993,0.3020833333333333,tensor(0.7918),0.175,0.20394736842105263,0.37877097725868225,-5.691318988800049,0.8838627022647435,0.14006078243255615,0.9692286975960003,0.92074126404793
0.28125,0.9759999999999999,0.1836789164155379,0.36066640063563454,0.44957204764729547,0.22580952033704815,0.2987012987012987,tensor(0.6723),0.14606741573033707,0.37037037037037035,0.3766029179096222,-5.717525482177734,0.871430434073879,0.14520448446273804,0.9701647617033424,0.9313519948223141
