failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.5571848154067993,0.06286250799894333
0.725,0.7114285714285714,0.39155075523766114,0.35321964455753024,0.3736991993098311,0.34887549657976946,1.0161290322580645,tensor(5.8573),0.6666666666666666,1.0,0.14652162790298462,-3.504218816757202
0.8938547486033519,0.8392857142857143,0.31995585191799913,0.3462640451391624,0.4514452506347099,0.30881316136423276,0.953125,tensor(3.8015),0.8863636363636364,0.9148936170212766,0.20795324444770813,-6.053116321563721
0.7611111111111111,0.8561904761904761,0.2050071399583376,0.3142050271249493,0.6726411562556754,0.2084792624173252,0.8181818181818182,tensor(1.8322),0.7122302158273381,0.926829268292683,0.31189677119255066,-7.4759721755981445
0.6705202312138728,0.8446428571428571,0.16844926417839762,0.28855047473277856,0.5163451019278295,0.23882066175357733,0.7241379310344828,tensor(1.4291),0.6901408450704225,0.5806451612903226,0.36047011613845825,-8.421487808227539
0.5632183908045977,0.8174285714285715,0.14831237048284904,0.3238130228534354,0.7310974812844472,0.19825916724688278,0.6286644951140065,tensor(0.9802),0.48120300751879697,0.8292682926829268,0.4198232889175415,-9.036795616149902
0.26595744680851063,0.7792857142857142,0.10479690491398888,0.28005467771367376,0.5999497679232556,0.17642669074437262,0.4577259475218659,tensor(0.8669),0.21830985915492956,0.41304347826086957,0.4579679071903229,-9.657806396484375
0.032432432432432434,0.7814285714285713,0.06658297349502271,0.23358364597630166,0.5867979036118475,0.1266243989458195,0.4084507042253521,tensor(0.9371),0.014084507042253521,0.09302325581395349,0.4738689661026001,-10.323043823242188
0.16842105263157894,0.7519047619047619,0.07731743623373276,0.27500503357808587,0.6229382374914311,0.1507431750376054,0.36239782016348776,tensor(1.0657),0.08571428571428572,0.4,0.4894891381263733,-10.422204971313477
0.14361702127659576,0.7426190476190475,0.0790422366910378,0.33879622580736435,0.6235664043711866,0.23561862487844315,0.31926121372031663,tensor(1.1504),0.10869565217391304,0.24,0.49072593450546265,-10.903428077697754
0.11398963730569948,0.7269047619047619,0.0975757067383273,0.2700475151522083,0.5625076474562687,0.14747231264241809,0.3020833333333333,tensor(1.4362),0.07352941176470588,0.21052631578947367,0.4652773141860962,-10.750819206237793
0.17676767676767677,0.7361904761904762,0.07416746695457543,0.27276152794375563,0.6260319362562606,0.13344362044023253,0.28205128205128205,tensor(0.7480),0.09859154929577464,0.375,0.48333004117012024,-10.932459831237793
0.34210526315789475,0.7159523809523809,0.164983561596717,0.32564740265019976,0.5418946085220595,0.22090266230601774,0.26262626262626265,tensor(1.2306),0.2734375,0.4838709677419355,0.4502776563167572,-10.717679977416992
0.39593908629441626,0.708095238095238,0.19290851461858052,0.3189786616388351,0.652320452627049,0.18326093245077654,0.24378109452736318,tensor(1.1924),0.32142857142857145,0.5789473684210527,0.43194112181663513,-10.707077026367188
0.41919191919191917,0.7216666666666666,0.18970573042904207,0.3250703631376185,0.6758315598808613,0.11574513282310274,0.21359223300970873,tensor(0.9782),0.2661290322580645,0.6756756756756757,0.4457278847694397,-10.722716331481934
0.25,0.7347619047619047,0.18870518729448063,0.36869200370893807,0.8397580556859761,0.15705363253084867,0.22249388753056235,tensor(1.0102),0.12318840579710146,0.532258064516129,0.44496163725852966,-10.772822380065918
0.25,0.7307142857142858,0.21041629498951345,0.3245846089132745,0.8786385901226967,0.14943206001481202,0.24069478908188585,tensor(0.8972),0.17419354838709677,0.4897959183673469,0.4542076885700226,-10.481287002563477
0.31527093596059114,0.7435714285714285,0.18859077015444123,0.32684086751317715,0.7265720655494238,0.16694838829867875,0.2376237623762376,tensor(0.6349),0.21379310344827587,0.5689655172413793,0.4557994306087494,-10.295659065246582
0.18090452261306533,0.7642857142857141,0.15489135094839773,0.40034468929910527,0.8752435852047562,0.19042561212341896,0.2594458438287154,tensor(0.9771),0.10144927536231885,0.36065573770491804,0.4784488379955292,-10.322610855102539
0.15736040609137056,0.7321428571428571,0.08799008236554698,0.3969117401762433,0.6923736695511149,0.2480530582011172,0.24688279301745636,tensor(1.2672),0.0916030534351145,0.2878787878787879,0.4572924077510834,-9.988635063171387
0.3096446700507614,0.7,0.07777200227764323,0.2968574455394696,0.7052667283323109,0.12644206135252858,0.2285012285012285,tensor(0.7978),0.2158273381294964,0.5344827586206896,0.4748828113079071,-9.808013916015625
0.0,0.6921428571428571,0.1125692196893154,0.27220412589056353,0.5817489205137112,0.14267828984257977,0.24378109452736318,tensor(1.3684),0.0,0.0,0.4066918194293976,-9.53288459777832
0.398989898989899,0.7102380952380952,0.10591135724864982,0.28782441112567975,0.5024947367620586,0.18048924830749044,0.2376237623762376,tensor(1.2769),0.3333333333333333,0.5303030303030303,0.4457297623157501,-9.565777778625488
0.19095477386934673,0.7278571428571429,0.0998437755935647,0.2786568760460716,0.49579722952344146,0.1893367306440328,0.22549019607843138,tensor(0.9243),0.11347517730496454,0.3793103448275862,0.4546947479248047,-9.739728927612305
0.1641025641025641,0.7007142857142857,0.07726309057292312,0.2986310667176443,0.6611235887988363,0.17024829848055556,0.21654501216545013,tensor(0.9247),0.1111111111111111,0.3137254901960784,0.46401306986808777,-9.415505409240723
0.01990049751243781,0.6961904761904762,0.07992914048411026,0.3360208760392094,0.6495360103113246,0.20261018060426675,0.21951219512195122,tensor(1.3462),0.0070921985815602835,0.05,0.440103143453598,-9.467692375183105
0.27638190954773867,0.7266666666666667,0.0862943667803681,0.3093875241941219,0.5661488243181195,0.18766364857978227,0.21654501216545013,tensor(0.8058),0.15555555555555556,0.53125,0.46911290287971497,-9.54570484161377
0.205,0.7288095238095238,0.09083908381482156,0.29145672796339894,0.6556376199108912,0.1390689788506185,0.21654501216545013,tensor(0.9954),0.10638297872340426,0.4406779661016949,0.4578644633293152,-9.228891372680664
