topk_continual_k-0.5_c-0,topk_continual_k-0.5_c-0.0001,topk_continual_k-0.5_c-0.001,topk_continual_k-0.5_c-0.01,topk_continual_k-0.25_c-0,topk_continual_k-0.25_c-0.0001,topk_continual_k-0.25_c-0.001,topk_continual_k-0.25_c-0.01,topk_continual_k-0.75_c-0,topk_continual_k-0.75_c-0.0001,topk_continual_k-0.75_c-0.001,topk_continual_k-0.75_c-0.01,topk_continual_k-0.5_c-0.1,topk_continual_k-0.5_c-1e-05,topk_continual_k-0.5_c-1e-06,topk_continual_k-0.5_c-0.0005,topk_continual_k-0.5_c-0.0003,topk_continual_k-0.5_c-0.0002,topk_continual_k-0.5_c-0.00025
0.4230769230769231,0.5703125,0.5073529411764706,0.2641509433962264,0.5,0.3333333333333333,0.5,0.25,0.5,0.5,0.25,1.0,1.0,0.5087719298245614,0.4715447154471545,0.5391304347826087,0.5333333333333333,0.5478260869565217,0.4958677685950413
0.5666666666666667,0.674074074074074,0.6971830985915493,0.5689655172413793,0.25,0.3333333333333333,0.375,0.3,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,1.0,0.6577181208053692,0.6418918918918919,0.6015037593984962,0.6838235294117647,0.6861313868613139,0.6917293233082706
0.5576923076923077,0.6456692913385826,0.6339869281045751,0.543859649122807,0.375,0.4444444444444444,0.4,0.0,1.0,1.0,0.4,0.4,1.0,0.6375838926174496,0.6865671641791045,0.6363636363636364,0.6351351351351351,0.7028985507246377,0.6164383561643836
0.6379310344827587,0.6866666666666666,0.6490066225165563,0.5254237288135594,0.5714285714285714,0.2,0.375,0.1111111111111111,0.5,0.5,0.5,0.6666666666666666,1.0,0.574468085106383,0.6470588235294118,0.6764705882352942,0.6267605633802817,0.6433566433566433,0.6382978723404256
0.5517241379310345,0.5806451612903226,0.5535714285714286,0.5964912280701754,0.75,0.6,0.4444444444444444,0.0,0.0,0.5,0.0,0.0,0.9791666666666666,0.7054794520547946,0.5952380952380952,0.610062893081761,0.6666666666666666,0.5947712418300654,0.5925925925925926
0.4761904761904761,0.6405228758169934,0.6013071895424836,0.6231884057971014,1.0,0.4444444444444444,0.1,0.4285714285714285,0.5,0.5,0.25,0.3333333333333333,1.0,0.6226415094339622,0.64,0.5976331360946746,0.6442953020134228,0.5773809523809523,0.6308724832214765
0.543859649122807,0.56875,0.6073619631901841,0.5735294117647058,0.4444444444444444,0.7,0.4,0.125,0.5,0.5,0.0,0.2,1.0,0.5941176470588235,0.5576923076923077,0.55,0.5906040268456376,0.6583850931677019,0.5652173913043478
0.559322033898305,0.6319018404907976,0.6114649681528662,0.4745762711864407,0.875,0.7777777777777778,0.5555555555555556,0.1428571428571428,1.0,0.5,0.0,0.0,1.0,0.6265060240963856,0.5481927710843374,0.5705521472392638,0.5973154362416108,0.55,0.6
0.4915254237288136,0.6163522012578616,0.6241610738255033,0.4385964912280701,0.8888888888888888,0.5555555555555556,0.4444444444444444,0.0,0.5,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6071428571428571,0.5654761904761905,0.5419354838709678,0.6196319018404908,0.5925925925925926,0.6111111111111112
0.5344827586206896,0.4853801169590643,0.610062893081761,0.4629629629629629,0.5,0.7,0.4,0.125,1.0,0.75,0.0,0.8,1.0,0.6291390728476821,0.5706214689265536,0.5882352941176471,0.5759493670886076,0.5989010989010989,0.5900621118012422
0.532258064516129,0.562874251497006,0.5988372093023255,0.625,0.8888888888888888,0.7,0.4444444444444444,0.375,0.0,0.5,0.5,0.25,1.0,0.5828220858895705,0.535031847133758,0.5705128205128205,0.6107784431137725,0.6325301204819277,0.6011904761904762
0.5205479452054794,0.4825581395348837,0.6058823529411764,0.5636363636363636,0.8571428571428571,0.7,0.1111111111111111,0.2,1.0,0.25,0.0,0.25,1.0,0.5459770114942529,0.580110497237569,0.5902777777777778,0.6628571428571428,0.5659340659340659,0.5862068965517241
0.5230769230769231,0.5823529411764706,0.5976331360946746,0.5,0.75,0.9,0.0,0.0,0.3333333333333333,0.4,0.3333333333333333,1.0,1.0,0.5481927710843374,0.4759358288770053,0.6298701298701299,0.6706586826347305,0.536723163841808,0.5625
0.4833333333333333,0.50920245398773,0.5847953216374269,0.6166666666666667,0.75,0.8,0.4,0.125,0.75,0.75,0.5,0.2,1.0,0.4918032786885246,0.5187165775401069,0.5679012345679012,0.5833333333333334,0.532608695652174,0.5519125683060109
0.4927536231884058,0.5251396648044693,0.5614035087719298,0.4677419354838709,0.7777777777777778,0.8888888888888888,0.3,0.0,1.0,0.5,0.0,0.3333333333333333,1.0,0.5561497326203209,0.4893617021276595,0.5662650602409639,0.5823529411764706,0.5497076023391813,0.5333333333333333
0.5,0.5,0.56353591160221,0.5094339622641509,0.7777777777777778,0.9,0.2222222222222222,0.1111111111111111,0.5,0.6666666666666666,0.25,0.5,1.0,0.5136612021857924,0.4285714285714285,0.6089743589743589,0.6666666666666666,0.5141242937853108,0.5672514619883041
0.463768115942029,0.5174418604651163,0.581151832460733,0.576271186440678,0.6666666666666666,0.7,0.3,0.25,0.25,0.5,0.4,0.0,1.0,0.5645161290322581,0.533678756476684,0.5864197530864198,0.6392405063291139,0.525,0.5955056179775281
0.46875,0.5303867403314917,0.6264367816091954,0.4509803921568627,0.7777777777777778,0.7777777777777778,0.4,0.125,1.0,1.0,0.25,0.0,1.0,0.4505494505494505,0.4734299516908212,0.6114649681528662,0.5953757225433526,0.5337078651685393,0.5276073619631901
0.4307692307692308,0.4897959183673469,0.603448275862069,0.6212121212121212,0.875,0.7777777777777778,0.5,0.0,0.0,0.5,0.6,0.0,1.0,0.5051020408163265,0.4278846153846153,0.6094674556213018,0.5786163522012578,0.5433526011560693,0.5266272189349113
0.3793103448275862,0.4397905759162304,0.6388888888888888,0.4814814814814814,0.8888888888888888,0.5,0.5,0.25,0.5,0.75,0.6,0.0,1.0,0.4416243654822335,0.4218009478672986,0.5163398692810458,0.6644736842105263,0.5297297297297298,0.4655172413793103
0.4605263157894737,0.4106280193236715,0.6684210526315789,0.5538461538461539,0.8571428571428571,0.9,0.3,0.1428571428571428,0.3333333333333333,0.0,0.2,0.3333333333333333,1.0,0.5051020408163265,0.4676616915422885,0.5962732919254659,0.6312849162011173,0.5449438202247191,0.5428571428571428
0.463768115942029,0.4117647058823529,0.5649717514124294,0.65625,0.75,0.6666666666666666,0.3,0.5,0.6,0.6666666666666666,0.0,0.0,1.0,0.4504950495049505,0.4070351758793969,0.6095890410958904,0.5838150289017341,0.5314285714285715,0.5054945054945055
0.4050632911392405,0.4356435643564356,0.5965909090909091,0.5263157894736842,0.8,0.8,0.6,0.2,0.0,0.6,0.0,0.0,1.0,0.4673366834170854,0.4271844660194174,0.569620253164557,0.6104651162790697,0.5028248587570622,0.4702702702702703
0.4520547945205479,0.4666666666666667,0.581151832460733,0.5942028985507246,0.8888888888888888,0.6666666666666666,0.3,0.25,1.0,0.5,0.4,0.5,1.0,0.472636815920398,0.4647887323943662,0.5542168674698795,0.5652173913043478,0.51010101010101,0.4673913043478261
0.4358974358974359,0.4390243902439024,0.6486486486486487,0.5555555555555556,0.875,0.7,0.5,0.3333333333333333,0.0,0.6,0.5,0.5,1.0,0.4182692307692308,0.3349056603773584,0.6540880503144654,0.6265822784810127,0.52,0.4507772020725388
0.4078947368421052,0.4951923076923077,0.6178010471204188,0.4696969696969697,1.0,0.8,0.7,0.3333333333333333,0.8,0.3333333333333333,0.0,0.5,1.0,0.4223300970873786,0.4298642533936652,0.5632183908045977,0.593939393939394,0.4923076923076923,0.4921465968586387
0.3432835820895522,0.4292452830188679,0.6197916666666666,0.5737704918032787,0.8571428571428571,1.0,0.4,0.3333333333333333,0.75,1.0,0.25,0.0,1.0,0.3831775700934579,0.3705357142857143,0.5818181818181818,0.5804597701149425,0.5177664974619289,0.4744897959183674
0.3670886075949367,0.3971291866028708,0.6302083333333334,0.4333333333333333,0.8888888888888888,0.9,0.7,0.1,0.6666666666666666,0.6666666666666666,0.0,0.25,1.0,0.3807339449541284,0.4460093896713615,0.6168831168831169,0.6257309941520468,0.4611398963730569,0.3966480446927374
