failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift
0.4340659340659341,0.0,0.19490941871814965,0.12700047749985408,0.1287634040034725,0.12511735146189806,0.6025641025641025,tensor(6.0231)
0.15841584158415842,0.7942857142857143,0.08852667525804762,0.1377366935612107,0.1442269026775484,0.12932892266050044,0.3333333333333333,tensor(5.0903)
0.2079646017699115,0.7557142857142858,0.08876394110156485,0.15643794060633104,0.15685315213735307,0.15576201485815586,0.22549019607843138,tensor(4.4769)
0.3924050632911392,0.8004761904761903,0.13723086430132075,0.1948801885049755,0.21311002942068832,0.16401375331814336,0.19617224880382775,tensor(4.1119)
0.4411764705882353,0.8492857142857143,0.16738638254882163,0.29807924615664605,0.32153592271328885,0.2595060447079452,0.18203309692671396,tensor(3.5126)
0.4406779661016949,0.8642857142857143,0.14674113148750806,0.3047607360050113,0.2886109910778914,0.3401155830076253,0.19331742243436753,tensor(3.7767)
0.4024896265560166,0.8745238095238095,0.15056415634891018,0.2915552781473906,0.2813923519779292,0.30801479987836566,0.1848341232227488,tensor(4.3652)
0.40756302521008403,0.9135714285714287,0.16505112486424278,0.19975537327225454,0.20062084593469479,0.1982801357794589,0.1655011655011655,tensor(3.4975)
0.3112033195020747,0.857142857142857,0.1397782240991337,0.1759366240177924,0.1785588786548116,0.17094486217864735,0.08225108225108226,tensor(4.8469)
0.3870967741935484,0.8788095238095236,0.17847017876680263,0.14930898183171853,0.14959871899007474,0.14872244075504604,0.08459869848156182,tensor(3.6317)
0.13654618473895583,0.7338095238095237,0.10361771620721123,0.25985238849097403,0.2536932157036156,0.2733551903709524,0.016260162601626018,tensor(3.9350)
0.5868725868725869,0.8759523809523809,0.13772414057999816,0.11007539768329899,0.11304002766296069,0.10367613541012696,0.2531328320802005,tensor(6.1598)
0.46320346320346323,0.903095238095238,0.08214993809844022,0.18537866433250041,0.18303637376845297,0.1889175598586153,0.24069478908188585,tensor(4.3386)
0.39662447257383965,0.9026190476190475,0.07238655844129625,0.189061682363759,0.20178025448189402,0.16936840940664666,0.2345679012345679,tensor(3.0140)
0.3722943722943723,0.8980952380952381,0.0828001760289695,0.18568438144866203,0.20124103805149945,0.1641937424303089,0.22249388753056235,tensor(2.7113)
0.28451882845188287,0.9002380952380952,0.1367965379741209,0.1786714809702914,0.19331226169924953,0.15354923221946587,0.21359223300970873,tensor(1.8305)
0.36134453781512604,0.886904761904762,0.12854812233336163,0.19632298662858996,0.20172225433451477,0.18565943290938858,0.19904076738609114,tensor(1.8883)
0.326271186440678,0.8997619047619048,0.12831019843960215,0.2045045890318668,0.21496477080166332,0.1872276595918658,0.19617224880382775,tensor(1.7267)
0.3305785123966942,0.8819047619047619,0.14181171249153726,0.21335773064989544,0.22307419436838516,0.19883311993668853,0.19617224880382775,tensor(1.9383)
0.36401673640167365,0.8776190476190476,0.14834435403863883,0.21103655273334826,0.22071630772917772,0.1931751000624724,0.19047619047619047,tensor(1.1679)
0.3206751054852321,0.8692857142857142,0.15226376532420566,0.21082597920072174,0.2305018752293366,0.17363373670760854,0.17370892018779344,tensor(1.8311)
0.25806451612903225,0.8778571428571429,0.19809185886378872,0.2045606089233727,0.22522384702295617,0.17128192019456967,0.16279069767441862,tensor(1.6376)
0.3514644351464435,0.8823809523809524,0.21140488836367902,0.2043502545132352,0.22457780489202536,0.16836403116492232,0.14678899082568808,tensor(0.8671)
0.2962962962962963,0.8833333333333332,0.1812893427117557,0.21034617328619148,0.22689075431864847,0.17845300503085265,0.1415525114155251,tensor(0.6446)
