failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse,avg_score_on_last_train
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.5571848154067993,0.06286250799894333,0.0,0.0
0.725,0.964,0.39155075523766114,0.35321964455753024,0.3736991993098311,0.34887549657976946,1.11864406779661,tensor(4.2886),0.6666666666666666,1.0,0.19765742123126984,-2.9472715854644775,0.6771428571428572,-1.9860097169876099
0.8757062146892656,0.948,0.30681233600837793,0.44229073535329777,0.5777106620426721,0.3988350872365582,0.9762845849802372,tensor(3.2388),0.8432835820895522,0.9767441860465116,0.2768412232398987,-5.6031365394592285,0.8208994708994708,-2.0609874725341797
0.764367816091954,0.9259999999999999,0.21413488317759,0.362305987620691,0.6025036078157795,0.3018245724636542,0.8518518518518519,tensor(2.0480),0.7553956834532374,0.8,0.3645460605621338,-7.625650882720947,0.8604580479596413,-1.8235316276550293
0.554945054945055,0.9065,0.1408798584454728,0.4237182095772081,0.6702109951027106,0.32775536941079103,0.7361111111111112,tensor(1.1521),0.46564885496183206,0.7843137254901961,0.4431150257587433,-8.717801094055176,0.8538755444380167,-1.2740334272384644
0.4101123595505618,0.8864,0.10424320293133413,0.25805729308256176,0.7167782088855809,0.13354733022174228,0.6181229773462783,tensor(0.6647),0.29285714285714287,0.8421052631578947,0.49815019965171814,-9.253273963928223,0.8357082750091497,-1.3500995635986328
0.0847457627118644,0.8573333333333332,0.10999774456041425,0.2796671988187504,0.6670584004834119,0.16288014537572734,0.5015015015015015,tensor(0.3663),0.03676470588235294,0.24390243902439024,0.5296922326087952,-9.508278846740723,0.807577918012728,-1.060947060585022
0.08247422680412371,0.8536666666666666,0.1037619307254768,0.2707192230245529,0.6174416317074621,0.15672829414250056,0.4124293785310734,tensor(0.3153),0.04794520547945205,0.1875,0.54656982421875,-9.711236953735352,0.825665994347972,-1.3483757972717285
0.015463917525773196,0.8823333333333332,0.07640613831653281,0.3544119313504067,0.7900606659651616,0.2111849501071996,0.4662756598240469,tensor(0.5164),0.00684931506849315,0.041666666666666664,0.5170795321464539,-9.726099967956543,0.8029815068465124,-1.379723072052002
0.14285714285714285,0.8716666666666666,0.1246914502579435,0.34579138061959985,0.7167609368660354,0.2049854176647484,0.4084507042253521,tensor(1.0421),0.0948905109489051,0.2692307692307692,0.48061710596084595,-9.330079078674316,0.7791928494748281,-1.4059966802597046
0.11794871794871795,0.8733333333333333,0.11931422585724763,0.34333652620502086,0.6804124797047597,0.1971050463779281,0.358695652173913,tensor(0.8175),0.0661764705882353,0.23728813559322035,0.4592517614364624,-9.680736541748047,0.7868710869069628,-1.381942629814148
0.14358974358974358,0.874,0.14134683948885923,0.37774059892454465,0.6228392759063849,0.26616582805967715,0.32978723404255317,tensor(0.9344),0.08208955223880597,0.2786885245901639,0.4517289102077484,-9.07545280456543,0.8071119519199033,-1.290446400642395
0.2153846153846154,0.8996666666666666,0.1290894453453582,0.3816834979793281,0.6263350718247238,0.28557037968292265,0.3089005235602094,tensor(0.7873),0.17857142857142858,0.3090909090909091,0.4667336642742157,-9.595342636108398,0.8493193103208951,-1.0360709428787231
0.07035175879396985,0.9233333333333333,0.13198587268289697,0.3179372433462085,0.6329997372355468,0.16857428328015184,0.29198966408268734,tensor(0.5792),0.044444444444444446,0.125,0.45642516016960144,-9.528160095214844,0.8782902637238963,-0.6978979706764221
0.15736040609137056,0.9296666666666665,0.11839644082922497,0.2751307874015215,0.5858839285886634,0.16075636738125412,0.2562814070351759,tensor(0.5599),0.08333333333333333,0.3584905660377358,0.4652656018733978,-9.381214141845703,0.8834781871233413,-1.1176990270614624
0.06666666666666667,0.9413333333333332,0.11176975341439067,0.3080800476442825,0.6130771712615357,0.16590093738661574,0.24378109452736318,tensor(0.8014),0.015037593984962405,0.1774193548387097,0.45615217089653015,-9.240164756774902,0.9088313722915493,-1.1643569469451904
0.1683673469387755,0.9523333333333334,0.12793637544990488,0.32250047828006556,0.7260786063945324,0.14445130411191848,0.2315270935960591,tensor(0.4594),0.08823529411764706,0.35,0.45389440655708313,-9.112515449523926,0.9230338842029344,-1.126546025276184
0.21,0.9609999999999999,0.09131411251300882,0.31725463132145904,0.757721888779557,0.17043221216875956,0.22249388753056235,tensor(0.4778),0.14,0.42,0.46363991498947144,-9.022171020507812,0.9315819330364036,-1.1832833290100098
0.21608040201005024,0.9573333333333331,0.10859339481204854,0.39641371914807905,0.7389842459854163,0.23772296039254784,0.19904076738609114,tensor(0.6116),0.125,0.4126984126984127,0.4865659773349762,-8.925806045532227,0.9294183601971107,-1.1454932689666748
0.12807881773399016,0.9563333333333333,0.09453740862031879,0.35369638023803723,0.6720565005689753,0.1861384221691224,0.1792452830188679,tensor(0.7837),0.09022556390977443,0.2,0.486888587474823,-8.798203468322754,0.9226888137569469,-1.1463558673858643
0.24873096446700507,0.9619999999999999,0.12253550999193774,0.2550404645146006,0.4806331786175361,0.1413830665696101,0.16822429906542055,tensor(0.5023),0.16030534351145037,0.42424242424242425,0.4910186231136322,-8.638633728027344,0.9116046540415408,-1.1395184993743896
0.23039215686274508,0.9606666666666667,0.13096255217104066,0.28711882068586225,0.493458403188877,0.20904438406309986,0.15207373271889402,tensor(0.4364),0.16216216216216217,0.4107142857142857,0.47194209694862366,-8.507979393005371,0.8969506192696599,-1.1691347360610962
0.21674876847290642,0.9613333333333332,0.14444166647330098,0.28685441062571704,0.5512557882573508,0.1759167696613951,0.13895216400911162,tensor(0.5114),0.11888111888111888,0.45,0.4566541016101837,-8.381853103637695,0.9100494591158648,-1.0527812242507935
0.25380710659898476,0.9543333333333333,0.16488296186880827,0.281272573509274,0.5940740257582601,0.15703937261605966,0.13122171945701358,tensor(0.5589),0.14184397163120568,0.5357142857142857,0.45260119438171387,-8.21151065826416,0.9031993355797037,-1.0698126554489136
0.2634146341463415,0.9533333333333333,0.13660557572801021,0.2791942932849961,0.5569359942389004,0.16960913236440803,0.12866817155756208,tensor(0.6410),0.1836734693877551,0.46551724137931033,0.46590688824653625,-8.121684074401855,0.9062144573408578,-1.220118761062622
0.0975609756097561,0.948,0.1371054977642053,0.30977463396538973,0.47986079581635305,0.22535230545542262,0.13122171945701358,tensor(0.8068),0.058394160583941604,0.17647058823529413,0.4503422677516937,-8.027900695800781,0.9127479912101859,-0.8122227191925049
0.16019417475728157,0.9513333333333333,0.12409895443507447,0.2197787688196384,0.40392358496411657,0.12904074347308384,0.12866817155756208,tensor(0.5263),0.08695652173913043,0.3088235294117647,0.4667377173900604,-7.919513702392578,0.9111399240822329,-0.8674216270446777
0.12437810945273632,0.9329999999999998,0.15554073124602338,0.25150409989025485,0.4397907778836331,0.16151414349636078,0.08932461873638345,tensor(0.4435),0.07352941176470588,0.23076923076923078,0.46469584107398987,-7.806818008422852,0.9011226989183387,-0.8458514213562012
0.19230769230769232,0.9259999999999999,0.17063288216887085,0.2718486485369901,0.4854125733663149,0.1539103616909451,0.07991360691144708,tensor(0.4722),0.11940298507462686,0.32432432432432434,0.4659753441810608,-7.80206823348999,0.9028801019329579,-0.8810073137283325
0.14356435643564355,0.9433333333333334,0.18422676520472184,0.27139948162608074,0.508698467605846,0.17113230445153205,0.08225108225108226,tensor(0.4603),0.07746478873239436,0.3,0.45017316937446594,-7.679480075836182,0.9125784864340968,-0.771946907043457
0.18867924528301888,0.9400000000000001,0.19244135128049067,0.20764128524480233,0.4173653541327839,0.13235572205424476,0.07296137339055794,tensor(0.4574),0.1282051282051282,0.35714285714285715,0.45701807737350464,-7.647563457489014,0.9030766556172347,-0.9674383401870728
0.12735849056603774,0.9456666666666665,0.18486061098541964,0.20598139155937278,0.3863524858900127,0.1380494209673135,0.08225108225108226,tensor(0.6172),0.09090909090909091,0.22413793103448276,0.41646549105644226,-7.590574741363525,0.919834690062605,-0.9242480397224426
