failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new
0.0,0.0,0.21209839631022903,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0
0.3824884792626728,0.6414285714285715,0.34365627004084354,0.48269445350211476,0.5242586728715286,0.4497178827627438,0.42857142857142855,tensor(6.8243),0.38016528925619836,0.3854166666666667
0.05460750853242321,0.6014285714285714,0.1975705208149388,0.3491959174141873,0.35482703200152504,0.3404799313572641,0.035196687370600416,tensor(4.8962),0.0782608695652174,0.03932584269662921
0.18926553672316385,0.5861904761904762,0.3061273560602696,0.47247483720390004,0.4958061747594596,0.4286574471605314,0.010101010101010102,tensor(3.1617),0.12195121951219512,0.22510822510822512
0.23809523809523808,0.6,0.19975274611470678,0.5254269111575773,0.5523096139950278,0.465849029193498,0.012145748987854251,tensor(2.6195),0.24324324324324326,0.23577235772357724
0.10220994475138122,0.5091428571428572,0.13957587042225342,0.45623115599268443,0.47181199109354216,0.42006646534573877,0.0,tensor(2.5572),0.25688073394495414,0.03557312252964427
0.5580110497237569,0.5971428571428571,0.2124546700650344,0.5965244814999002,0.6200750180787264,0.5388817395879159,0.008064516129032258,tensor(1.7086),0.42857142857142855,0.6108949416342413
0.30327868852459017,0.5757142857142856,0.19636329571367522,0.5401963642440469,0.5282455958088382,0.5601724662269868,0.0,tensor(2.3932),0.3722627737226277,0.26200873362445415
0.6256983240223464,0.7188095238095238,0.22893460813715896,0.5931430516826465,0.6318973198055942,0.5112535981706776,0.05485232067510549,tensor(3.3627),0.4956521739130435,0.6872427983539094
0.3955431754874652,0.669047619047619,0.16361813142136894,0.4248695361827809,0.4090757429944243,0.45753704004245854,0.0,tensor(3.0717),0.23076923076923078,0.47520661157024796
0.674863387978142,0.7569047619047617,0.11624622675139085,0.6467430362074851,0.741141022012194,0.4690964330001974,0.26582278481012656,tensor(4.9316),0.3779527559055118,0.8326359832635983
0.25,0.7692857142857144,0.06438734425371236,0.39393147792269245,0.3892592397032191,0.40309625289166023,0.0,tensor(4.6457),0.22115384615384615,0.2647058823529412
0.5386740331491713,0.8528571428571428,0.07400458270878697,0.5819318426027431,0.6296968992690345,0.479340807849925,0.0,tensor(1.3399),0.3130434782608696,0.6437246963562753
0.3708791208791209,0.7033333333333334,0.12410929897048566,0.5694021326413898,0.5735173482818631,0.5611376913138288,0.0,tensor(1.5494),0.4380165289256198,0.3374485596707819
0.6740947075208914,0.7973809523809523,0.1687273990220123,0.6595652693137442,0.6745348017229654,0.6278038266367857,0.49700598802395207,tensor(5.8338),0.6347826086956522,0.6926229508196722
0.18685121107266436,0.7664285714285715,0.12916902333296096,0.3750899952969702,0.3647783911871294,0.3888110814108713,0.004016064257028112,tensor(4.9554),0.14516129032258066,0.21818181818181817
0.3021978021978022,0.7269047619047619,0.1417112713217784,0.5508657106274204,0.5730874569369744,0.5021338108257664,0.002004008016032064,tensor(2.0131),0.2807017543859649,0.312
0.6469002695417789,0.8228571428571428,0.08248891436196823,0.6481618448126135,0.6889349301375602,0.5649446460756322,0.30548302872062666,tensor(5.6554),0.5081967213114754,0.714859437751004
0.20930232558139536,0.7709523809523808,0.13639850048138277,0.36738465241432045,0.3675287812632973,0.36715153966727926,0.004016064257028112,tensor(4.5105),0.20869565217391303,0.20967741935483872
0.4262295081967213,0.7483333333333333,0.1658938101213928,0.5559209762219713,0.6029813259868129,0.47347690482942895,0.002004008016032064,tensor(1.2897),0.2706766917293233,0.5150214592274678
0.45576407506702415,0.7695238095238095,0.16809886753836548,0.5791113032712009,0.5854889747871145,0.5678677045987025,0.002004008016032064,tensor(1.0403),0.4666666666666667,0.4495798319327731
0.5623268698060941,0.8557142857142856,0.2033423568693996,0.6037370711486042,0.5941523875701091,0.6245038855686782,0.02459016393442623,tensor(2.2260),0.6754385964912281,0.5101214574898786
0.4084507042253521,0.6483333333333333,0.09245800146006741,0.48018223838150836,0.46130195035240623,0.5140775586227311,0.0,tensor(3.2205),0.23622047244094488,0.5043859649122807
0.6565934065934066,0.8404761904761905,0.08907046459341576,0.6486296401672782,0.7311787430755549,0.47653574766358214,0.1876484560570071,tensor(4.5984),0.4322033898305085,0.7642276422764228
0.3282208588957055,0.7364285714285714,0.09553575016758721,0.35192444521523875,0.3535214959228736,0.34914638221960503,0.0,tensor(4.1364),0.31932773109243695,0.3333333333333333
