failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse,avg_score_on_last_train
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.572381854057312,0.039841316640377045,0.0,0.0
0.8313253012048193,0.994,0.37859039617840146,0.4502636993695452,0.4724563007515335,0.4280710979875568,1.262443438914027,tensor(1.7328),0.6626506024096386,1.0,0.37488028407096863,-1.0816538333892822,0.5985714285714285,0.7504986226558685
1.0,0.991,0.28201043536368053,0.4968218745038237,0.6320478564403985,0.3633076138575851,1.242152466367713,tensor(1.5816),1.0,1.0,0.3590296804904938,-2.1517324447631836,0.7596896736222579,0.7368580102920532
0.9235294117647059,0.94,0.22499685257351634,0.5063662944490974,0.8115503541944924,0.2821494342279909,1.0,tensor(1.0552),0.8775510204081632,0.9861111111111112,0.4195651710033417,-2.841625213623047,0.7891254617600137,0.6852601952850819
0.5851063829787234,0.876,0.20127881346989399,0.6071017309641008,0.806359793785702,0.35502827799701564,0.7361111111111112,tensor(0.9610),0.3253012048192771,0.7904761904761904,0.44701331853866577,-3.457474708557129,0.7793675320984063,0.5202236473560333
0.44559585492227977,0.8572,0.20427903043424003,0.5476898719376478,0.7649126529306056,0.2885035991619595,0.6077170418006431,tensor(0.8212),0.23863636363636365,0.6190476190476191,0.44534018635749817,-3.9351906776428223,0.7464591629391474,0.41018086671829224
0.375,0.855,0.19770060521404534,0.576399340950087,0.6766810254512674,0.44231484144850913,0.5432098765432098,tensor(0.4863),0.2696629213483146,0.453781512605042,0.43908312916755676,-4.329582214355469,0.7562744815853298,0.3304399251937866
0.4090909090909091,0.8443333333333333,0.21273123436890862,0.6204693281905327,0.792795054600084,0.38170476750259996,0.4409221902017291,tensor(0.6956),0.25301204819277107,0.5217391304347826,0.4288237690925598,-4.694388389587402,0.8056750395113196,0.3140064477920532
0.35148514851485146,0.8436666666666667,0.18116967292864525,0.5171143759460171,0.678067687475619,0.271660575863374,0.36239782016348776,tensor(0.4857),0.15,0.48360655737704916,0.43278899788856506,-5.0380473136901855,0.8114918050105445,0.33065128326416016
0.2863849765258216,0.8763333333333333,0.18870125243003374,0.5821436921962262,0.7940786301467536,0.2980111380207943,0.34048257372654156,tensor(0.5155),0.15384615384615385,0.38524590163934425,0.43177711963653564,-5.322875022888184,0.8526131600703235,0.2609001398086548
0.19090909090909092,0.8926666666666666,0.15210501567565154,0.5540089590092642,0.6550056007136297,0.3587487850474913,0.3020833333333333,tensor(0.6105),0.14666666666666667,0.21379310344827587,0.43316012620925903,-5.544863224029541,0.8680860479733631,0.18801677227020264
0.27601809954751133,0.8993333333333333,0.1506108347868494,0.588547108227832,0.7314909131880476,0.3554125691855752,0.2531328320802005,tensor(0.5992),0.16666666666666666,0.34306569343065696,0.4288807809352875,-5.728265762329102,0.8798872141086864,0.20365536212921143
0.28085106382978725,0.9299999999999999,0.15857671111408345,0.676855164846823,0.7887238566956659,0.46010957438969047,0.2562814070351759,tensor(0.5907),0.2,0.3225806451612903,0.44134971499443054,-5.9478654861450195,0.8848264331550904,0.16183245182037354
0.2575107296137339,0.9559999999999998,0.14149305203153742,0.5620083869953261,0.6791022449170607,0.3919141512774378,0.26903553299492383,tensor(0.5925),0.15789473684210525,0.32608695652173914,0.4409995675086975,-6.200050354003906,0.8800777485494007,0.17060136795043945
0.29646017699115046,0.9683333333333332,0.1643054759754418,0.5301922300344224,0.6286879987503997,0.353872644061377,0.3089005235602094,tensor(0.7071),0.1728395061728395,0.36551724137931035,0.4171663522720337,-6.403090476989746,0.8588624906542398,0.1371392011642456
0.3438914027149321,0.9606666666666666,0.1839567002020612,0.5500655461245857,0.7049383291970548,0.3246396063191021,0.3333333333333333,tensor(0.5547),0.14444444444444443,0.48091603053435117,0.42393171787261963,-6.7032036781311035,0.8253503939483988,0.2088261842727661
0.3495575221238938,0.9733333333333332,0.16655654382570567,0.554821056590426,0.680499069580428,0.3502289424206554,0.3089005235602094,tensor(0.4541),0.22093023255813954,0.42857142857142855,0.4338377118110657,-6.943081378936768,0.8254415615762339,0.1933659315109253
0.36160714285714285,0.972,0.1577265315739448,0.6462488820170168,0.8234250676942657,0.38729907218103715,0.3020833333333333,tensor(0.8200),0.25274725274725274,0.43609022556390975,0.4017157554626465,-7.323527812957764,0.8387200461763419,0.16600584983825684
0.3688888888888889,0.9803333333333331,0.13657622210812387,0.6474894059369296,0.7428278568395055,0.4874570062076065,0.28865979381443296,tensor(0.3592),0.25,0.4397163120567376,0.435162752866745,-7.51481819152832,0.8719299205879127,0.1772139072418213
0.27601809954751133,0.9436666666666667,0.12869674027946662,0.6288502097893043,0.6519935138665468,0.5925206045517731,0.2315270935960591,tensor(0.5645),0.2558139534883721,0.28888888888888886,0.43560081720352173,-7.730323791503906,0.913582115028963,0.1280512809753418
0.23504273504273504,0.9383333333333332,0.12792313536370672,0.6695703402698361,0.766338395647858,0.5030392682239387,0.21951219512195122,tensor(0.7503),0.19767441860465115,0.25675675675675674,0.4257960617542267,-7.876958847045898,0.8945895937850107,0.008759260177612305
0.23076923076923078,0.9076666666666666,0.12932187306654624,0.6514608314176705,0.7523224436165411,0.4778850336800796,0.1876484560570071,tensor(0.5719),0.13953488372093023,0.28378378378378377,0.43787094950675964,-7.982320785522461,0.8461424134895617,0.05315136909484863
0.2606837606837607,0.9223333333333332,0.12762653986347464,0.5058488379291847,0.6146632063937051,0.34942818326143676,0.1876484560570071,tensor(0.6632),0.21875,0.2898550724637681,0.4379672110080719,-8.083175659179688,0.8509511284630052,0.04587888717651367
