failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.572381854057312,0.039841316640377045,0.0
0.7041420118343196,0.7228571428571429,0.3849577031273356,0.3610131786071881,0.45631694024936714,0.34044402141822855,1.242152466367713,tensor(1.7735),0.6402877697841727,1.0,0.360306978225708,-1.0031486749649048,0.7228571428571429
1.0,0.8300000000000001,0.2699721419308767,0.4392001763273768,0.7073064107846498,0.38005909519709613,1.2123893805309736,tensor(1.6092),1.0,1.0,0.3972468376159668,-2.098231554031372,0.822107882701103
0.9939393939393939,0.8476190476190475,0.1661829951528253,0.27042398421824176,0.7951901926033432,0.2101467846064395,0.9762845849802372,tensor(0.9038),0.9932432432432432,1.0,0.48321041464805603,-2.8006515502929688,0.8472126045026445
0.45294117647058824,0.7907142857142857,0.11122757883948434,0.3235436786603168,0.8310363897810803,0.19197149429567434,0.639344262295082,tensor(0.8461),0.34074074074074073,0.8857142857142857,0.5114805698394775,-3.378200054168701,0.7834394806326899
0.292817679558011,0.7362857142857143,0.14078391313371116,0.3879719497488492,0.7381536917989139,0.2686507635688273,0.47928994082840237,tensor(0.7207),0.18518518518518517,0.6086956521739131,0.5055281519889832,-3.9856512546539307,0.7308259919852489
0.2736842105263158,0.7042857142857142,0.1443428967821424,0.36826249417225393,0.7288461169384153,0.17633895302252295,0.4084507042253521,tensor(0.9150),0.12903225806451613,0.5454545454545454,0.4919211268424988,-4.366765975952148,0.7099977746404615
0.225130890052356,0.7011904761904761,0.13827678101124427,0.35832300589591676,0.7271030936412969,0.1975016142475555,0.34408602150537637,tensor(0.6834),0.10526315789473684,0.5,0.49131858348846436,-4.827731132507324,0.7242997833114203
0.171875,0.69,0.16955937791108047,0.2925310247201642,0.6018445155794235,0.15864906599003695,0.31926121372031663,tensor(0.6620),0.1044776119402985,0.3275862068965517,0.4712470769882202,-5.139956474304199,0.7348452599386608
0.18781725888324874,0.7054761904761905,0.1323844621475554,0.26250381436562636,0.5152746516258946,0.14912865941800618,0.28865979381443296,tensor(0.5506),0.08823529411764706,0.4098360655737705,0.4813776910305023,-5.556390762329102,0.7764832599233604
0.2358974358974359,0.718095238095238,0.11810844100384661,0.2869628419292545,0.5527490521051229,0.17718158120443914,0.2531328320802005,tensor(0.6076),0.14492753623188406,0.45614035087719296,0.4938642978668213,-5.934945106506348,0.8070415667639577
0.16831683168316833,0.7183333333333333,0.14134449942520458,0.3117598731201214,0.6380161343114757,0.16388833027799674,0.25,tensor(0.6028),0.07913669064748201,0.36507936507936506,0.48705509305000305,-6.196316242218018,0.8204880104019099
0.18316831683168316,0.7264285714285714,0.136773859852446,0.2953422961276238,0.5634067930446643,0.1652521726237659,0.2345679012345679,tensor(0.4900),0.09558823529411764,0.36363636363636365,0.48954281210899353,-6.452119827270508,0.8335347388027203
0.17346938775510204,0.7335714285714285,0.13276873521027255,0.35695500698213106,0.8356683146773108,0.13019607175809844,0.2345679012345679,tensor(0.5809),0.03759398496240601,0.4603174603174603,0.49532654881477356,-6.715386867523193,0.8471363332790898
0.16161616161616163,0.7364285714285714,0.10909662783519682,0.49607866042333537,0.9437002571990701,0.267142423904448,0.24069478908188585,tensor(0.6404),0.08396946564885496,0.31343283582089554,0.5066011548042297,-6.905320644378662,0.8596935331997466
0.18461538461538463,0.7157142857142856,0.07496485327624824,0.34000420570522444,0.7953479004084577,0.161119182786097,0.19617224880382775,tensor(0.4656),0.07857142857142857,0.45454545454545453,0.5152778625488281,-7.13693904876709,0.8369540168538095
0.07920792079207921,0.7102380952380951,0.03514997772778619,0.4043338793507002,0.6862504704582879,0.3040548234533706,0.1792452830188679,tensor(0.7946),0.053691275167785234,0.1509433962264151,0.4830671548843384,-7.253793239593506,0.8309313437149521
0.225,0.7283333333333333,0.036772980466195725,0.3954418938062314,0.7211809157343153,0.25583945583705225,0.1574074074074074,tensor(0.4909),0.15714285714285714,0.38333333333333336,0.5088919401168823,-7.497142791748047,0.8521673956401407
