failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score
0.0,0.0,0.212547970251224,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0,0.572381854057312,0.039841316640377045
0.21301775147928995,0.6585714285714286,0.260402529572917,0.3610131786071881,0.45631694024936714,0.34044402141822855,0.597444089456869,tensor(1.5881),0.2446043165467626,0.06666666666666667,0.4617260694503784,-0.5929521918296814
0.4340659340659341,0.665,0.13752542212526292,0.22874902221213356,0.34678969531957055,0.1933368202799024,0.4084507042253521,tensor(1.3577),0.4642857142857143,0.3333333333333333,0.4315159022808075,-0.9442704916000366
0.4842105263157895,0.6623809523809523,0.17629699513079095,0.11633837353088936,0.1908248332729985,0.0890088091650795,0.33689839572192515,tensor(1.5933),0.5539568345323741,0.29411764705882354,0.34819114208221436,-1.198783040046692
0.5654450261780105,0.6639285714285714,0.23921309704365004,0.07366851033514779,0.09337084634611398,0.06686981692291301,0.35501355013550134,tensor(1.2946),0.6056338028169014,0.4489795918367347,0.3302740752696991,-1.4771265983581543
0.6223404255319149,0.6708571428571428,0.227506289173769,0.0742720016334084,0.08875282312517559,0.06764899025345292,0.3333333333333333,tensor(1.0381),0.6821705426356589,0.4915254237288136,0.35918545722961426,-1.7837824821472168
0.5873015873015873,0.6849999999999999,0.21920292502963992,0.08526832338579585,0.16662761048063435,0.05833954526285633,0.31926121372031663,tensor(0.9266),0.6267605633802817,0.46808510638297873,0.3836117684841156,-2.1216001510620117
0.5606060606060606,0.7264285714285714,0.22120826678923086,0.10863059879209504,0.21493422114880953,0.07913991646087738,0.3698630136986301,tensor(0.7206),0.5741935483870968,0.5116279069767442,0.39969199895858765,-2.3988759517669678
0.5531914893617021,0.7611904761904761,0.2236633473549859,0.13603659304786098,0.2246259121744644,0.10480726472265554,0.4084507042253521,tensor(0.8138),0.5611510791366906,0.5306122448979592,0.41615551710128784,-2.710585117340088
0.5459459459459459,0.779047619047619,0.1844123907545619,0.15424722305328492,0.32968348674831033,0.0961891789527729,0.3812154696132597,tensor(0.6617),0.5611510791366906,0.5,0.46200427412986755,-3.038377046585083
0.5078534031413613,0.7735714285714286,0.14869721664429958,0.17692960685796277,0.3331938742564738,0.10878428724056709,0.3477088948787062,tensor(0.6765),0.5112781954887218,0.5,0.48093709349632263,-3.2430577278137207
0.5,0.7469047619047618,0.12970984772120375,0.13976439620542774,0.32231262993006893,0.08239209417768335,0.29198966408268734,tensor(0.5128),0.5285714285714286,0.4090909090909091,0.5009839534759521,-3.5315747261047363
0.5079365079365079,0.7183333333333333,0.1060765803934468,0.18048720815312183,0.40255463305470357,0.09166023819248913,0.24378109452736318,tensor(0.4415),0.5407407407407407,0.42592592592592593,0.5173996686935425,-3.748307943344116
0.4416243654822335,0.7126190476190476,0.07954072003326508,0.158469663801538,0.34193157626251713,0.08191721111997835,0.21654501216545013,tensor(0.6099),0.4748201438848921,0.3620689655172414,0.5093483924865723,-4.009927749633789
0.4484536082474227,0.7192857142857143,0.09752725479287683,0.20329382645341795,0.3809665992150236,0.1275216145403803,0.17647058823529413,tensor(0.6980),0.47794117647058826,0.3793103448275862,0.498259574174881,-4.246070384979248
0.47738693467336685,0.7111904761904762,0.059312056244380865,0.1678080503402532,0.3556732937276725,0.0886362691984122,0.16009280742459397,tensor(0.4578),0.5285714285714286,0.3559322033898305,0.5231782793998718,-4.387482166290283
0.47474747474747475,0.6992857142857143,0.05693617597787691,0.1756868205984689,0.33215209058059686,0.11086549446301591,0.14416475972540047,tensor(0.1850),0.5071428571428571,0.39655172413793105,0.5441862344741821,-4.493253707885742
0.5303030303030303,0.6780952380952381,0.07480784895548877,0.22228097595200727,0.4060663665802923,0.14798475420865798,0.13636363636363635,tensor(0.6333),0.5035460992907801,0.5964912280701754,0.5428605675697327,-4.582313060760498
0.47783251231527096,0.6666666666666665,0.06710313245002798,0.24876546409768394,0.48031679557769835,0.15389373800517808,0.12866817155756208,tensor(0.8055),0.4861111111111111,0.4576271186440678,0.5091665387153625,-4.704309463500977
0.4467005076142132,0.6566666666666666,0.08767195948216272,0.20047489691016068,0.43540104930324364,0.09758753089859144,0.12612612612612611,tensor(0.7962),0.5255474452554745,0.26666666666666666,0.46788954734802246,-4.833749294281006
