failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new
0.0,0.0,0.21209839631022903,0.0,0.0,0.0,1.2935779816513762,tensor(0.),0.0,0.0
0.24561403508771928,0.7185714285714285,0.34167127256721275,0.29650266610727727,0.325959803486991,0.269362382229339,1.2522522522522523,tensor(1.7461),0.3258426966292135,0.15853658536585366
0.24489795918367346,0.7999040511727079,0.2588095561173181,0.19243271942940313,0.21430351085636845,0.1702623281198765,1.0833333333333333,tensor(1.1515),0.3698630136986301,0.12162162162162163
0.3219178082191781,0.8377620448140775,0.19637917438738828,0.15372989261274897,0.16576437520774812,0.13831071178790616,0.8796992481203008,tensor(0.9543),0.359375,0.2926829268292683
0.33540372670807456,0.8283869768313541,0.16010056827497088,0.1277455455355133,0.14481244042647604,0.10317956046518807,0.6286644951140065,tensor(1.0164),0.25757575757575757,0.3894736842105263
0.37714285714285717,0.8344054667953544,0.1357678004547499,0.11996960203450795,0.13748193056500102,0.08959665723943386,0.5479876160990712,tensor(1.1211),0.421875,0.35135135135135137
0.4046242774566474,0.8384628879705343,0.14324177863411308,0.14670852675728072,0.15145765665023408,0.1382060522715095,0.5151515151515151,tensor(0.8121),0.43548387096774194,0.38738738738738737
0.4,0.8775130547418457,0.1278098875047362,0.1359482974099007,0.14593609548209255,0.11835784707380148,0.5197568389057751,tensor(0.8169),0.43283582089552236,0.3813559322033898
0.3230769230769231,0.8749271797004047,0.12110380328232694,0.15222266607858634,0.16937774357783464,0.1253614263100264,0.5060240963855421,tensor(0.8862),0.35526315789473684,0.3025210084033613
0.40782122905027934,0.8757193766978663,0.09600088819526656,0.14773664627635633,0.16077300711202716,0.1259445207003095,0.49700598802395207,tensor(0.8193),0.373134328358209,0.42857142857142855
0.40860215053763443,0.8865285596210667,0.07876420004995026,0.1589045736438997,0.16420604025904573,0.14948853592446107,0.5060240963855421,tensor(0.7570),0.3880597014925373,0.42016806722689076
0.4098360655737705,0.887306712818235,0.07700630081437629,0.16467957633678337,0.1687324855795044,0.15714369821359908,0.4749262536873156,tensor(0.6802),0.421875,0.40336134453781514
0.36787564766839376,0.888448006498866,0.06633145174269618,0.15916383417913088,0.1719298668991467,0.1351560711534295,0.44508670520231214,tensor(0.7411),0.29850746268656714,0.40476190476190477
0.4263157894736842,0.8998921667791075,0.04311059479266893,0.172040581733609,0.17975322502547952,0.15881890751897373,0.44508670520231214,tensor(0.6326),0.5,0.38333333333333336
0.41361256544502617,0.9052198511817031,0.052281033861415256,0.17304004577798549,0.18803564847200316,0.1418395175920452,0.42857142857142855,tensor(1.0776),0.41935483870967744,0.4108527131782946
0.4213197969543147,0.9077430508366795,0.06803993390485542,0.1726834885957063,0.1744576906772619,0.16953490461998788,0.42857142857142855,tensor(0.6464),0.4507042253521127,0.40476190476190477
0.4263157894736842,0.9072464818452844,0.08860890785089044,0.17273273689835927,0.18110285358723055,0.1554524959923025,0.4367816091954023,tensor(0.7516),0.5,0.390625
0.3787878787878788,0.9170471901916311,0.04897871724295794,0.14759357343723203,0.15511663203729537,0.13254745623710554,0.44508670520231214,tensor(0.9946),0.3939393939393939,0.3712121212121212
0.41450777202072536,0.9149062673505416,0.0377105497316524,0.14814835938313878,0.15417500864486586,0.13731785926061482,0.42450142450142453,tensor(0.4101),0.391304347826087,0.4274193548387097
0.4120603015075377,0.9149184164601996,0.04151871940158232,0.1506476767098524,0.166443686314057,0.12715111242359806,0.4749262536873156,tensor(0.5051),0.325,0.47058823529411764
