failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new
0.0,0.0,0.1263101682177386,0.0,0.0,0.0,0.718213058419244,tensor(0.),0.0,0.0
0.4340659340659341,0.7471428571428571,0.20061579799446794,0.12700047749985408,0.1287634040034725,0.12511735146189806,0.6025641025641025,tensor(6.0231),0.3522727272727273,0.5106382978723404
0.15841584158415842,0.7335714285714285,0.09039914679076735,0.1377366935612107,0.1442269026775484,0.12932892266050044,0.3333333333333333,tensor(5.0903),0.26136363636363635,0.07894736842105263
0.2079646017699115,0.7033333333333331,0.08827632002025315,0.15643794060633104,0.15685315213735307,0.15576201485815586,0.22549019607843138,tensor(4.4769),0.19767441860465115,0.21428571428571427
0.3924050632911392,0.7467857142857143,0.14296456781293934,0.1948801885049755,0.21311002942068832,0.16401375331814336,0.19617224880382775,tensor(4.1119),0.38636363636363635,0.3959731543624161
0.4411764705882353,0.796,0.16348428778628538,0.29807924615664605,0.32153592271328885,0.2595060447079452,0.18203309692671396,tensor(3.5126),0.5,0.40540540540540543
0.4406779661016949,0.8185714285714285,0.14432491878390613,0.3047607360050113,0.2886109910778914,0.3401155830076253,0.19331742243436753,tensor(3.7767),0.5135135135135135,0.4074074074074074
0.4024896265560166,0.8745238095238095,0.14825390019340776,0.2915552781473906,0.2813923519779292,0.30801479987836566,0.1848341232227488,tensor(4.3652),0.42391304347826086,0.38926174496644295
0.40756302521008403,0.9135714285714287,0.17103194949605138,0.19975537327225454,0.20062084593469479,0.1982801357794589,0.1655011655011655,tensor(3.4975),0.48863636363636365,0.36
0.3112033195020747,0.857142857142857,0.14117012330470988,0.1759366240177924,0.1785588786548116,0.17094486217864735,0.08225108225108226,tensor(4.8469),0.40963855421686746,0.25949367088607594
0.3870967741935484,0.8788095238095236,0.1679470081407163,0.14930898183171853,0.14959871899007474,0.14872244075504604,0.08459869848156182,tensor(3.6317),0.3902439024390244,0.3855421686746988
0.13654618473895583,0.7338095238095237,0.1064327916827723,0.25985238849097403,0.2536932157036156,0.2733551903709524,0.016260162601626018,tensor(3.9350),0.14102564102564102,0.13450292397660818
0.5868725868725869,0.8759523809523809,0.14205584331056498,0.11007539768329899,0.11304002766296069,0.10367613541012696,0.2531328320802005,tensor(6.1598),0.5365853658536586,0.6101694915254238
0.46320346320346323,0.903095238095238,0.07550937522930007,0.18537866433250041,0.18303637376845297,0.1889175598586153,0.24069478908188585,tensor(4.3386),0.4673913043478261,0.460431654676259
0.39662447257383965,0.9026190476190475,0.0775094817784541,0.189061682363759,0.20178025448189402,0.16936840940664666,0.2345679012345679,tensor(3.0140),0.4731182795698925,0.3472222222222222
0.3722943722943723,0.8980952380952381,0.08557390259769103,0.18568438144866203,0.20124103805149945,0.1641937424303089,0.22249388753056235,tensor(2.7113),0.4536082474226804,0.31343283582089554
0.28451882845188287,0.9002380952380952,0.13829832722464672,0.1786714809702914,0.19331226169924953,0.15354923221946587,0.21359223300970873,tensor(1.8305),0.29545454545454547,0.2781456953642384
0.36134453781512604,0.886904761904762,0.1257279085617344,0.19632298662858996,0.20172225433451477,0.18565943290938858,0.19904076738609114,tensor(1.8883),0.375,0.35443037974683544
0.326271186440678,0.8997619047619048,0.12764809454810916,0.2045045890318668,0.21496477080166332,0.1872276595918658,0.19617224880382775,tensor(1.7267),0.39325842696629215,0.2857142857142857
0.3305785123966942,0.8819047619047619,0.1403882046734013,0.21335773064989544,0.22307419436838516,0.19883311993668853,0.19617224880382775,tensor(1.9383),0.35051546391752575,0.31724137931034485
0.36401673640167365,0.8776190476190476,0.1478460214194685,0.21103655273334826,0.22071630772917772,0.1931751000624724,0.19047619047619047,tensor(1.1679),0.35714285714285715,0.36774193548387096
0.3206751054852321,0.8692857142857142,0.15553152831440184,0.21082597920072174,0.2305018752293366,0.17363373670760854,0.17370892018779344,tensor(1.8311),0.3048780487804878,0.32903225806451614
0.25806451612903225,0.8778571428571429,0.19493545645728663,0.2045606089233727,0.22522384702295617,0.17128192019456967,0.16279069767441862,tensor(1.6376),0.2736842105263158,0.24836601307189543
0.3514644351464435,0.8823809523809524,0.21235803878240705,0.2043502545132352,0.22457780489202536,0.16836403116492232,0.14678899082568808,tensor(0.8671),0.3488372093023256,0.35294117647058826
0.2962962962962963,0.8833333333333332,0.18161693844106716,0.21034617328619148,0.22689075431864847,0.17845300503085265,0.1415525114155251,tensor(0.6446),0.37349397590361444,0.25625
0.2764227642276423,0.8899999999999999,0.20428825654068417,0.20993897778114676,0.22466867645391028,0.18440750008169002,0.14416475972540047,tensor(0.5512),0.28888888888888886,0.2692307692307692
0.2786885245901639,0.888095238095238,0.1967293574813945,0.2108403862080417,0.22239208481878767,0.18801873773315322,0.14416475972540047,tensor(1.1148),0.32926829268292684,0.25308641975308643
0.30278884462151395,0.8926190476190475,0.1923043258634048,0.201755678443934,0.21678606590710434,0.1794333208253641,0.1415525114155251,tensor(0.7359),0.37623762376237624,0.25333333333333335
0.34615384615384615,0.8904761904761904,0.1978042963880171,0.2121580497521591,0.22176505996054732,0.19592551526212454,0.14416475972540047,tensor(1.1455),0.4367816091954023,0.2925170068027211
0.3786008230452675,0.8988095238095236,0.18783495543207165,0.207799133907285,0.2224516387746612,0.1828898756327458,0.14942528735632185,tensor(0.6210),0.4222222222222222,0.35294117647058826
0.4219409282700422,0.9123809523809523,0.205281442748402,0.2081445403360927,0.21131191596341647,0.20192856566746925,0.15473441108545036,tensor(1.0588),0.5,0.3821656050955414
0.3943089430894309,0.925952380952381,0.23661449746796223,0.20714333142296457,0.20627969412867844,0.20877916206273012,0.15473441108545036,tensor(0.6158),0.5058823529411764,0.33540372670807456
0.3821138211382114,0.9314285714285714,0.21581839751507406,0.20670557259015943,0.2088444019518173,0.2024279138668447,0.15473441108545036,tensor(0.5285),0.5,0.3231707317073171
0.4190871369294606,0.9245238095238095,0.19424346258454758,0.20621175003142028,0.22697807096606967,0.16668068126425648,0.1415525114155251,tensor(1.0133),0.4819277108433735,0.3860759493670886
0.36134453781512604,0.9126190476190476,0.20877706506534993,0.21096751638337882,0.22477632736169054,0.18905353374388434,0.13636363636363635,tensor(0.9368),0.3804347826086957,0.3493150684931507
0.3795918367346939,0.9226190476190477,0.18987541638206448,0.21778442313182508,0.2256240479556353,0.20428284704637406,0.13636363636363635,tensor(1.0140),0.43333333333333335,0.34838709677419355
0.3881856540084388,0.927142857142857,0.17458327402988078,0.21735391133157822,0.21673263647445773,0.21859646104581967,0.13895216400911162,tensor(0.6050),0.4936708860759494,0.33544303797468356
0.36929460580912865,0.928095238095238,0.21412729620660959,0.21834447823992792,0.23131225023448104,0.1945448025793364,0.13895216400911162,tensor(0.2108),0.47058823529411764,0.3141025641025641
0.3481781376518219,0.926190476190476,0.18596207278305976,0.19995405654278525,0.21825743525176378,0.16312408718935273,0.13895216400911162,tensor(0.3418),0.4024390243902439,0.3212121212121212
0.379746835443038,0.9223809523809523,0.17724408949042747,0.21078458691503094,0.21617275154229176,0.20114928075804675,0.13636363636363635,tensor(0.5456),0.4,0.3684210526315789
0.3902439024390244,0.917142857142857,0.19923044026073883,0.2035176579905591,0.2158555820056155,0.1792877590212312,0.13636363636363635,tensor(0.2042),0.40963855421686746,0.3803680981595092
0.3699186991869919,0.9188095238095237,0.2078350943277436,0.20654807317444157,0.21925085430218774,0.18528472215625805,0.13636363636363635,tensor(0.9812),0.4673913043478261,0.3116883116883117
0.3228346456692913,0.9209523809523809,0.18269034723492975,0.21976241509824826,0.2166134980172155,0.22570241777383274,0.13378684807256236,tensor(0.5309),0.48863636363636365,0.23493975903614459
0.3306122448979592,0.9285714285714285,0.17512957174850305,0.21950255891898982,0.22091029274123603,0.21716143636677573,0.13636363636363635,tensor(1.0778),0.41304347826086957,0.28104575163398693
0.3534136546184739,0.930952380952381,0.15983797315825574,0.21211802617181094,0.21382682956308474,0.20830095885623853,0.13636363636363635,tensor(1.0571),0.42857142857142855,0.31976744186046513
0.35772357723577236,0.9364285714285714,0.18813672681560586,0.21321154862542532,0.22020904656325424,0.20189644557702063,0.1415525114155251,tensor(0.5242),0.425531914893617,0.3157894736842105
0.3907563025210084,0.941904761904762,0.17625991279274295,0.22293262347746062,0.22112918590178343,0.22642817532167434,0.1415525114155251,tensor(0.4234),0.5679012345679012,0.29936305732484075
0.38589211618257263,0.9457142857142857,0.20801617570947895,0.22285704320452474,0.22791604538263682,0.21390202785476287,0.14678899082568808,tensor(0.3710),0.4482758620689655,0.35064935064935066
0.3861788617886179,0.9561904761904761,0.224848892804967,0.22866733729252559,0.22937516952192816,0.22758004861024742,0.13895216400911162,tensor(0.4844),0.5773195876288659,0.26174496644295303
0.4152542372881356,0.962142857142857,0.20142719905684187,0.2177821312473955,0.21134762805952664,0.22942551796830063,0.13378684807256236,tensor(1.2376),0.5357142857142857,0.34868421052631576
