failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost
0.1601642710472279,0.0,0.24734840701087826,0.40101132060183214,0.442515359459678,0.36652864170114197
0.025423728813559324,0.0,0.12209488909957522,0.37697615684614605,0.38497333540302325,0.3653136047840348
0.004398826979472141,0.4890972222222222,0.10408411105150403,0.3843274413065356,0.39156394654060134,0.37141987890944633
0.15046604527296936,0.5840277777777778,0.0827873464381033,0.5044054265171695,0.5208718350444135,0.4762282509145963
0.3976063829787234,0.6910000000000001,0.0798039601877693,0.5629366771198648,0.5819753983822121,0.5237757301330858
0.03763440860215054,0.5479722222222222,0.04845410140283039,0.4454196500961447,0.4385565167396001,0.45914591680923417
0.6858288770053476,0.7035694444444445,0.08233604413243793,0.622310180241951,0.6559513365317209,0.5560958408779596
0.001597444089456869,0.5091666666666667,0.08531255882438193,0.3313892309035988,0.3316140751932897,0.33105106509190274
0.004016064257028112,0.530638888888889,0.10021951794171274,0.43684526451914546,0.44213285962531923,0.4257435088190454
0.555256064690027,0.7012638888888889,0.12564260555442264,0.5985441513024977,0.6353707078157154,0.5238388509471134
0.004347826086956522,0.548125,0.12561415963274172,0.4030950890725485,0.4020281184390842,0.4049967060886428
0.5664893617021277,0.6961666666666666,0.15961032627704544,0.5968369956750352,0.6217535537754693,0.5496872011157501
0.019667170953101363,0.5407916666666667,0.10689982940233632,0.39045502970533746,0.38652871019113,0.3970359863000012
0.43983957219251335,0.6926527777777777,0.11408420111960639,0.567398621215529,0.5880458903211161,0.526269261157201
0.021917808219178082,0.55075,0.09990267747736158,0.44136590323396563,0.43492230659912545,0.45388934508071316
0.6608811748998665,0.6962916666666665,0.07717496464447872,0.6358496905405226,0.6701712062158476,0.5697539591813997
0.0016339869281045752,0.5080416666666666,0.09560415603604802,0.31807195933240046,0.31753364056599653,0.3188567372930619
0.0026917900403768506,0.5113333333333333,0.045752184473509504,0.4254155835286163,0.4301862417265211,0.4167086788328212
0.3195739014647137,0.6709722222222222,0.06638308429303824,0.5471879338624929,0.5703140093579566,0.5027354774626525
